FrontText,BackText,Count
"導体","抵抗が小さく電気を通しやすい物質",0
"不導体","電気を通しにくく抵抗が大きい物質",0
"電気エネルギー","電気の持つエネルギー",0
"電気エネルギーの大きさを表す値","電力",0
"電力の公式","W＝V✕A",0
"電気を流すときの熱の量","熱量",0
"消費される電気エネルギーの総量","電力量",0
"Jの公式","J＝W✕秒",0
"Whの公式","W✕h(時間)",0
"磁石同士が引き合ったり反発し合う力","磁力",0
"磁力が働く空間","地場",0
"磁界の中のN極が指す向き","磁力線",0
"コイル内部の磁界が変化してコイルに電流が流れる現象","電磁誘導",0
"電磁誘導によって流れる電流","誘導電流",0
"一定の向きにながれる電流(一直線)","直流",0
"電流の向きが定期的に変化する電流","交流",0
"原子の中心にあり+の電気を持つもの","陽子",0
"原子の真ん中にある電気を持たない粒子","中性子",0
"中性子の量が違う原子","同位体",0
"原子が電気を帯びたもの","イオン",0
"原子が水に解けて陽イオンと陰イオンに分かれること","電離",0
"マグネシウムリボンを入れると気体が発生する液性","酸性",0
"酸性とアルカリ性の水溶液を混ぜたときにお互いの性質を打ち消し合うこと","中和",0
"中和したときにできる物質","塩",0
