FrontText,BackText,Count
"産業革命","イギリスで経済の仕組みが変化したこと",0
"南京条約","アヘン戦争でできた条約
イギリスと清が結んだ",0
"南京条約の内容","清に関税自主権がないこと
イギリスの領事裁判権を認めさせること",0
"太平天国の乱","アヘン戦争の後に清で起こった反乱",0
"インド大反乱","イギリスの支配に対してインドの人々が起こした乱",0
"日米和親条約","下田と函館を開港した条約",0
"日米修好通商条約の内容","アメリカの領事裁判権を認めること
日本に関税自主権がないこと",0
"日米修好通商条約を結んだ人","井伊直弼",0
"鎖国体制が終わったこと","開国",0
"桜田門外の変","井伊直弼が暗殺された事件",0
"開国したときの日本の輸出品","生糸
茶",0
"京都から追い出された攘夷を主張した藩","長州藩",0
"生麦事件でイギリスに攻撃された藩","薩摩藩",0
"長州藩で実権を握った人","木戸孝允
高杉晋作",0
"薩摩藩で実権を握った人","西郷隆盛
大久保利通",0
"薩長同盟を結んだ人","坂本龍馬",0
"江戸幕府を朝廷に返した人","徳川慶喜",0
"政権を朝廷に返すこと","大政奉還",0
"天皇中心の政府の樹立の宣言","王政復古の大号令",0
"旧幕府軍と新幕府軍で起こった戦争","戊辰戦争",0
"安政の大獄","井伊直弼が幕府の政策に反対する人を処罰したできごと",0
"地租改正","土地の3%(途中から2.5%)の地価の分のお金を払う税",0
"明治維新","新政府に進められた近代国家にする変革",0
"五箇条の御誓文","新政府の方針",0
"版籍奉還","大名が支配していた土地と人民を天皇に返させた政策",0
"廃藩置県","藩から県に変えた政策",0
"藩閥政府","薩摩・長州藩や公家が政治の実権を握っていること",0
"地拳","土地の所有者に発行したもの
地租改正の課税に使われた",0
"富国強兵","経済の発展させて軍備の強化を目指す政策",0
"殖産興業","産業を育てて、経済を発展させるために進められた政策",0
"文明開化","欧米の文化が取り入れられ、伝統的な生活が変化したこと",0
"ルソーの思想を紹介し、人々に影響を与えた人","中江兆民",0
"官営模範工場","富岡製糸場など",0
"日清修好条規","清と対等な条約",0
"征韓論","武力で朝鮮の開国をする動き",0
"日朝修好条規","朝鮮に不平等な条約
領事裁判権が日本のもの",0
"日朝修好条規を結ぶきっかけとなった事件","江華島事件",0
"北海道を統治するためにおかれた役所","開拓使",0
"北海道の開拓の中心となった人たち","屯田兵",0
"琉球藩を沖縄県とした動き","琉球処分",0
"板垣退助たちが議会開設を要求した主張","民撰議院設立建白書",0
"民撰議院設立建白書をきっかけに起きた国民の政治参加を目指す運動","自由民権運動",0
"九州で反乱を起こしたひと。その反乱の名前","西郷隆盛
西南戦争",0
"国会期成同盟","国会開設を求めた組織",0
"大隈重信を政府から追放した人","伊藤博文",0
"大隈重信が結成した組織","立憲改進党",0
"板垣退助が結成した政党","自由党",0
"伊藤博文が憲法を作るのに参考にした国","ドイツ",0
"大日本帝国の天皇の権限","陸海軍の指揮
帝国議会の招集",0
"貴族院","皇族・華族・天皇が任命した議員",0
"教育勅語","愛国心を鍛えるための教育方針",0
"領事裁判権の撤廃に成功した人","陸奥宗光",0
"関税自主権を完全に回復させた人","小村寿太郎",0
"列強が軍事力で植民地支配する動き","帝国主義",0
"日本が列強と対等になるためにしたこと","条約改正",0
"日清戦争のきっかけとなった事件","甲午農民戦争",0
"日清戦争で結ばれた条約","下関条約",0
"下関条約の内容","朝鮮の独立
台湾・遼東半島・澎湖諸島を日本の領土",0
"伊藤博文が作った政党","立憲政友会",0
"日英通商公開条約で改正されたもの","領事裁判権が日本のもの",0
"日本が台湾を統治するためにおいたもの","台湾総督府",0
"韓国が日本の植民地となった出来事","韓国併合",0
"義和団事件","清の政府が列強へ宣戦布告した出来事",0
"与謝野明子","日露戦争に行った弟を心配する詩を書いた",0
"日露戦争で結んだ条約","ポーツマス条約",0
"日比谷焼打事件","ポーツマス条約で賠償金が無かったことで起きた反乱",0
"韓国を植民地にするときにおいたもの","朝鮮総督府",0
"ポーツマス条約での利権をもとに作った会社","南満州鉄道株式会社",0
"三民主義を唱えた人","孫文",0
"中華民国ができた革命","辛亥革命",0
"義和団事件の後に露西亜が塀を留めた地域","満州",0
"朝鮮総督府の前におかれたもの","朝鮮総監府",0
"軽工業の変化(何産業が多くなったか)","紡績工場
製糸工場",0
"労働時間を制限したり12歳未満を働かせることを禁止した法律","工場法",0
"三菱や三井などの資本家","財閥",0
"鉱毒が問題となった鉱山","足尾銅山",0
"近代文化の美術","フェロノサ
横山大観
黒田清輝",0
